pl_name,hostname,gaia_dr3_id,gaia_dr2_id,tic_id,ra,dec,FUVmag,e_FUVmag,NUVmag,e_NUVmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Bmag,e_Bmag,Vmag,e_Vmag,gpmag,e_gpmag,rpmag,e_rpmag,ipmag,e_ipmag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,ymag,e_ymag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,tic_Bmag,tic_e_Bmag,tic_Vmag,tic_e_Vmag,gaiamag,e_gaiamag,Tmag,e_Tmag
HD 1397 b,HD 1397,4707634458245031552,4707634458245031552,394137592,4.4471631,-66.3589285,20.2915,0.224,14.0676,0.0079,,,,,,,,,,,8.473999977111820,0.0,7.880000114440920,0.0,,,,,,,,,,,,,,,,,6.442,0.02,6.09,0.049,5.988,0.018,6.018,0.096,5.898,0.043,5.988,0.016,5.921,0.049,8.474,0.0,7.79,0.03,7.59336,0.000278,7.1062,0.006
TOI-6016 b,TOI-6016,428360006379022592,428360006379022592,327369524,4.5239602,59.7661983,,,,,,,,,,,,,,,12.836999893188500,0.10400000214576700,12.123000144958500,0.08500000089406970,12.418999671936000,0.10199999809265100,11.892999649047900,0.06599999964237210,11.661999702453600,0.061000000685453400,12.387,,11.923,,11.717,,11.609,,11.571,,10.629,0.021,10.308,0.015,10.224,0.016,10.154,0.023,10.194,0.02,10.121,0.044,9.044,,12.935,0.332,11.886,0.029,11.9184,0.000199,11.3864,0.006
WASP-26 b,WASP-26,2416782701664155008,2416782701664155008,32487566,4.6030424,-15.2674044,21.7561,0.2701,16.2842,0.0123,,,,,,,,,,,11.730999946594200,0.041999999433755900,11.104999542236300,0.026000000536441800,11.381999969482400,0.017000000923872000,10.956000328064000,0.01600000075995920,10.850000381469700,0.024000000208616300,11.7162,0.0146,11.436,0.0114,12.8253,0.0,10.9288,0.0027,11.1347,0.0139,10.021,0.022,9.775,0.023,9.69,0.023,9.658,0.022,9.702,0.021,9.632,0.053,8.398,0.304,11.622,0.163,11.297,0.012,10.9935,0.000439,10.5853,0.0077
TOI-260 b,TOI-260,2428162410789155328,2428162410789155328,37749396,4.7730178,-9.9661505,,,,,14.7782,0.00686123,10.7354,0.000316654,13.2196,0.0085938,8.85384,0.000164449,8.92663,0.000762126,11.225000381469700,0.01600000075995920,9.949000358581540,0.0,10.609999656677200,0.041999999433755900,9.357000350952150,0.0,8.812999725341800,0.0,15.084,0.0029,13.0166,0.0012,13.4938,0.1749,,,12.8176,0.001,7.376,0.02,6.71,0.031,6.549,0.021,,,,,,,,,11.225,0.016,9.9,0.03,9.3124,0.000458,8.4991,0.006
Qatar-4 b,Qatar-4,385697172809355392,385697172809355392,440113053,4.859275,44.0275965,,,,,,,,,,,,,,,14.559000015258800,0.13099999725818600,13.647000312805200,0.05000000074505810,14.10200023651120,0.07800000160932540,13.350000381469700,0.050999999046325700,13.244999885559100,0.34200000762939500,13.9997,0.005,13.3694,0.0022,13.362,,13.0508,0.0072,12.9781,0.0019,12.03,0.02,11.631,0.021,11.519,0.02,11.446,0.022,11.503,0.02,11.186,0.111,8.756,,14.559,0.131,13.574,0.103,13.4114,0.000719,12.8416,0.007
WASP-20 b,WASP-20,2359978293137038720,2359978293136820864,211438925,5.1605621,-23.9357894,22.2724,0.5273,15.7572,0.0155,,,,,,,,,,,11.387999534606900,0.050999999046325700,10.788000106811500,0.02500000037252900,11.034000396728500,0.012000000104308100,10.631999969482400,0.03400000184774400,10.484999656677200,0.05299999937415120,10.873,,10.597,,10.526,,10.529,,10.538,,9.701,0.021,9.417,0.021,9.39,0.024,9.328,0.022,9.364,0.019,9.324,0.033,8.336,,11.203,0.104,10.675,0.007,10.6503,0.000727,10.248,0.0062
WASP-1 b,WASP-1,2862548428079638912,2862548428079638912,57984377,5.1669536,31.9899732,,,16.6202,0.0156,14.7529,0.00629624,12.0359,0.000758165,11.6092,0.000825117,11.4791,0.000590689,13.0695,0.00664246,12.300999641418500,0.1469999998807910,11.67199993133550,0.052000001072883600,11.920000076293900,0.13199999928474400,11.522000312805200,0.04600000008940700,11.380999565124500,0.04600000008940700,11.699,,11.458,,11.397,,11.397,,11.411,,10.586,0.019,10.364,0.016,10.276,0.018,10.22,0.022,10.247,0.02,10.131,0.058,8.72,,12.063,0.284,11.308,0.02,11.5349,0.000675,11.1355,0.0061
WASP-45 b,WASP-45,2308834780352875904,2308834780352875904,120610833,5.2377567,-35.998465,,,19.4639,0.0403,,,,,,,,,,,13.126999855041500,0.024000000208616300,12.26200008392330,0.03099999949336050,12.64900016784670,0.014000000432133700,11.97599983215330,0.03400000184774400,11.78499984741210,0.06599999964237210,,,,,,,,,,,10.753,0.024,10.365,0.026,10.294,0.021,10.207,0.022,10.275,0.02,10.183,0.059,8.954,,13.334,0.335,11.801,0.062,12.0487,0.000233,11.5005,0.006
HATS-30 b,HATS-30,4906145613282734208,4906145613282734208,281459670,5.618525,-59.9425892,,,17.351,0.024,,,,,,,,,,,12.795000076293900,0.010999999940395400,12.204999923706100,0.023000000044703500,12.449999809265100,0.01899999938905240,12.038999557495100,0.013000000268220900,11.930999755859400,0.008999999612569810,,,,,,,,,,,11.129,0.024,10.826,0.024,10.793,0.019,10.719,0.023,10.757,0.021,10.769,0.078,8.774,,12.795,0.011,12.283,0.057,12.0815,0.000203,11.6714,0.006
TOI-5322 b,TOI-5322,2780169409154216448,2780169409154216448,336691874,6.5293373,14.3364283,,,18.1909,0.035,15.0479,0.00598792,15.2031,0.0117737,12.5573,0.00139553,12.3594,0.00171456,13.2785,0.00883288,13.359000205993700,0.0430000014603138,12.651000022888200,0.013000000268220900,12.980999946594200,0.03700000047683720,12.4399995803833,0.014000000432133700,12.22599983215330,0.04800000041723250,13.1,,12.616,,12.406,,12.298,,12.1967,0.0077,11.301,0.027,10.95,0.032,10.9,0.018,10.863,0.024,10.932,0.021,11.001,0.253,7.929,,13.359,0.043,12.733,0.069,12.4839,0.000206,12.0075,0.0068
