# t m teff logg logL Lum R 
4.0000 0.070 1631. 5.37 -4.29 5.1286138399136E-5 0.090 
4.0000 0.072 1790. 5.37 -4.12 7.5857757502918E-5 0.092 
4.0000 0.075 2041. 5.38 -3.88 0.00013182567385564 0.092 
4.0000 0.080 2343. 5.34 -3.58 0.00026302679918954 0.100 
4.0000 0.090 2644. 5.28 -3.25 0.00056234132519035 0.113 
4.0000 0.100 2811. 5.24 -3.06 0.00087096358995608 0.125 
4.0000 0.200 3262. 5.06 -2.32 0.0047863009232264 0.219 
4.0000 0.300 3416. 4.96 -1.97 0.010715193052376 0.299 
4.0000 0.400 3520. 4.88 -1.71 0.01949844599758 0.379 
4.0000 0.500 3680. 4.79 -1.45 0.035481338923358 0.469 
4.0000 0.600 3979. 4.71 -1.15 0.070794578438414 0.565 
4.0000 0.700 4418. 4.66 -0.85 0.14125375446228 0.651 
4.0000 0.800 4878. 4.60 -0.56 0.27542287033382 0.742 
4.0000 0.900 5297. 4.53 -0.29 0.51286138399136 0.857 
4.0000 1.000 5697. 4.44 -0.03 0.93325430079699 1.002 
4.0000 1.100 5996. 4.31 0.23 1.6982436524617 1.214 
4.0000 1.200 6053. 4.16 0.43 2.6915348039269 1.503 
