pl_name,hostname,gaia_dr3_id,ra,dec,fuvmag,e_fuvmag,nuvmag,e_nuvmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,vmag,e_vmag,bmag,e_bmag,gprimemag,e_gprimemag,rprimemag,e_rprimemag,iprimemag,e_iprimemag,gaiaGmag,e_gaiaGmag,gaiaBPmag,e_gaiaBPmag,gaiaRPmag,e_gaiaRPmag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,ymag,e_ymag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag
WASP-26 b,WASP-26,2416782701664155008,4.6030424,-15.2674044,21.7561,0.2701,16.2842,0.0123,,,,,,,,,,,11.105,0.026,11.731,0.042,11.382,0.017,10.956,0.016,10.85,0.024,10.9935122205,0.0150711203415312,11.29364283939,0.0234027988631632,10.5283022214,0.0210007624500572,,,,,,,,,,,10.021,0.022,9.775,0.023,9.69,0.023,9.658,0.022,9.702,0.021,9.632,0.053,8.398,0.304
TOI-260 b,TOI-260,2428162410789155328,4.7730178,-9.9661505,,,18.8212,0.042,14.7782,0.00686123,10.7354,0.000316654,13.2196,0.0085938,8.85384,0.000164449,8.92663,0.000762126,9.949,0.0,11.225,0.016,10.61,0.042,9.357,0.0,8.813,0.0,9.3166648467,0.0176693777924767,10.124875993,0.0314240681624723,8.434607578,0.0249673467663934,,,,,14.4114999771118,0.125218003988266,,,,,7.376,0.02,6.71,0.031,6.549,0.021,,,,,,,,
Qatar-4 b,Qatar-4,385697172809355392,4.859275,44.0275965,,,,,,,,,,,,,,,,,,,,,,,,,13.40040417457,0.0234175353150006,13.86767723439,0.0445618110410714,12.77131261663,0.0377683809709129,,,,,,,,,,,12.03,0.02,11.631,0.021,11.519,0.02,11.446,0.022,11.503,0.02,11.186,0.111,8.756,
WASP-20 b,WASP-20,2359978293137038720,5.1605621,-23.9357894,22.2724,0.5273,15.7572,0.0155,,,,,,,,,,,10.788,0.025,11.388,0.051,11.034,0.012,10.632,0.034,10.485,0.053,10.8391089911,0.0984816756936225,10.9477985318,0.0300909637370053,10.1907776762,0.0172060045422116,13.4708995819092,0.0010000000474974,11.9582996368408,0.0010000000474974,10.836199760437,0.0694969967007637,11.4305000305176,0.0611610002815723,,,9.701,0.021,9.417,0.021,9.39,0.024,9.328,0.022,9.364,0.019,9.324,0.033,8.336,
WASP-1 b,WASP-1,2862548428079638912,5.1669536,31.9899732,,,16.6202,0.0156,14.7529,0.00629624,12.0359,0.000758165,11.6092,0.000825117,11.4791,0.000590689,13.0695,0.00664246,11.672,0.052,12.301,0.147,11.92,0.132,11.522,0.046,11.381,0.046,11.53224102184,0.0178110993441312,11.82692678143,0.0245202479499699,11.0746973337,0.0187262849487562,,,,,,,16.9680995941162,0.0089260004460811,16.4421997070313,0.006424999795854,10.586,0.019,10.364,0.016,10.276,0.018,10.22,0.022,10.247,0.02,10.131,0.058,8.72,
WASP-45 b,WASP-45,2308834780352875904,5.2377567,-35.998465,,,19.4639,0.0403,,,,,,,,,,,12.262,0.031,13.127,0.024,12.649,0.014,11.976,0.034,11.785,0.066,12.0400766278,0.0167879847338192,12.484285902,0.0228460200126231,11.44065959621,0.0196445059628707,,,,,,,,,,,10.753,0.024,10.365,0.026,10.294,0.021,10.207,0.022,10.275,0.02,10.183,0.059,8.954,
HATS-30 b,HATS-30,4906145613282734208,5.618525,-59.9425892,,,17.351,0.024,,,,,,,,,,,12.205,0.023,12.795,0.011,12.45,0.019,12.039,0.013,11.931,0.009,12.0737728143,0.0166384055731924,12.3782443409,0.0273720065927911,11.60780249717,0.0203537342917725,,,,,,,,,,,11.129,0.024,10.826,0.024,10.793,0.019,10.719,0.023,10.757,0.021,10.769,0.078,8.774,
TOI-5322 b,TOI-5322,2780169409154216448,6.5293373,14.3364283,,,18.1909,0.035,15.0479,0.00598792,15.2031,0.0117737,12.5573,0.00139553,12.3594,0.00171456,13.2785,0.00883288,12.651,0.013,13.359,0.043,12.981,0.037,12.44,0.014,12.226,0.048,12.47117174465,0.0153829565160266,12.8387910418,0.0247880441534912,11.9356801208,0.0182497204839741,13.1000003814697,,12.6160001754761,,12.4060001373291,,12.2980003356934,,12.1967000961304,0.0077229999005794,11.301,0.027,10.95,0.032,10.9,0.018,10.863,0.024,10.932,0.021,11.001,0.253,7.929,
HATS-49 b,HATS-49,4919770108539385472,6.6135927,-56.3442798,,,,,,,,,,,,,,,15.032,0.043,16.365,0.017,15.677,0.046,14.524,0.042,14.053,0.103,14.530974171448,0.0154070621638546,15.260978049793,0.0381402898030532,13.703611287391,0.0286184182125246,,,,,,,,,,,12.692,0.024,12.105,0.024,11.938,0.023,11.903,0.023,11.99,0.022,12.093,0.307,9.293,
HATS-46 b,HATS-46,4919771654727611008,6.7026401,-56.3161021,,,19.8666,0.0745,,,,,,,,,,,13.693,0.058,14.431,0.027,14.012,0.02,13.509,0.032,13.339,0.15,13.51561171002,0.0127993526906665,13.89209593884,0.0260169616790306,12.97554788767,0.0237178844106247,,,,,,,,,,,12.366,0.024,11.993,0.022,11.965,0.024,11.88,0.024,11.953,0.021,11.821,0.232,8.675,
