# t m teff logg logL Lum R 
5.0000 0.070 1627. 5.37 -4.30 5.0118723362727E-5 0.090 
5.0000 0.072 1790. 5.37 -4.12 7.5857757502918E-5 0.092 
5.0000 0.075 2038. 5.38 -3.89 0.00012882495516931 0.092 
5.0000 0.080 2343. 5.34 -3.58 0.00026302679918954 0.100 
5.0000 0.090 2644. 5.28 -3.25 0.00056234132519035 0.113 
5.0000 0.100 2811. 5.24 -3.06 0.00087096358995608 0.125 
5.0000 0.200 3262. 5.06 -2.32 0.0047863009232264 0.219 
5.0000 0.300 3416. 4.96 -1.96 0.010964781961432 0.301 
5.0000 0.400 3521. 4.88 -1.71 0.01949844599758 0.380 
5.0000 0.500 3682. 4.79 -1.44 0.03630780547701 0.470 
5.0000 0.600 3984. 4.71 -1.15 0.070794578438414 0.567 
5.0000 0.700 4430. 4.65 -0.84 0.14454397707459 0.654 
5.0000 0.800 4896. 4.59 -0.55 0.28183829312645 0.748 
5.0000 0.900 5325. 4.51 -0.27 0.53703179637025 0.870 
5.0000 1.000 5732. 4.41 0.01 1.0232929922808 1.036 
5.0000 1.100 5971. 4.26 0.27 1.8620871366629 1.292 
